Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,sum formula,C,H,K,N,Na,O,S
486.113186,261.94,6305042,486.113435,0.25,0.514,C29 H21 N Na O3 S,29,21,0,1,1,3,1
486.116109,442.47,1107219,486.115841,-0.268,-0.551,C31 H20 N O3 S ,31,20,0,1,0,3,1
486.118272,-1000.0,924947,486.118343,0.071,0.145,C27 H20 N O8   ,27,20,0,1,0,8,0
486.199683,-1000.0,913693,486.199942,0.259,0.532,C26 H29 N3 Na O5,26,29,0,3,1,5,0
486.31773,341.11,1475884,486.317377,-0.353,-0.726,C24 H44 N3 O7  ,24,44,0,3,0,7,0
486.430714,-1000.0,975162,486.430556,-0.158,-0.325,C32 H56 N O2   ,32,56,0,1,0,2,0
486.978725,-1000.0,912766,486.97855,-0.174,-0.358,C25 H8 K N2 O5 S,25,8,1,2,0,5,1
487.092087,550.78,949645,487.092463,0.376,0.772,C29 H15 N2 O6  ,29,15,0,2,0,6,0
487.093149,357.62,1361293,487.093428,0.279,0.573,C24 H20 N2 Na O6 S,24,20,0,2,1,6,1
487.109254,348.13,1561999,487.109336,0.082,0.167,C36 H16 Na O   ,36,16,0,0,1,1,0
487.302966,376.86,873895,487.302914,-0.052,-0.107,C33 H43 O S    ,33,43,0,0,0,1,1
487.326166,552.71,1177002,487.326545,0.379,0.777,C26 H47 O8     ,26,47,0,0,0,8,0
487.365922,589.23,1342895,487.365885,-0.037,-0.076,C31 H48 N2 Na O,31,48,0,2,1,1,0
487.423672,438.2,910774,487.4234,-0.272,-0.559,C29 H56 N2 Na O2,29,56,0,2,1,2,0
488.235261,450.18,1226268,488.235023,-0.239,-0.489,C32 H35 K N O  ,32,35,1,1,0,1,0
